JournalCode;JournalLib;EcritureNum;EcritureDate;CompteNum;CompteLib;CompAuxNum;CompAuxLib;PieceRef;PieceDate;EcritureLib;Debit;Credit;EcritureLet;DateLet;ValidDate;Montantdevise;Idevise;1-Montant;2-Valeur Absolue;3-Mois;4-Trimestre;5-Semestre;6-Annee;7-Racine 1;8-Libellé Racine 1;9-Racine 2;10-Libellé Racine 2;11-Racine 3;12-Libellé Racine 3;13-Racine 4;14-Libellé Racine 4;15-Racine 5;16-Libellé Racine 5;17-Bilan;18-Resultat;19-Report à nouveau;20-Trésorerie;21-Banque;22-Caisse;23-Debit/Crédit;24-Encaissements / Décaissements;25-Dettes;26-;27-;29-Investissements;30-;31-;32-
AN;A-NOUVEAUX;01/01/2001;20230101;27500000;DÃ‰POTS & CAUTIONNEMENT;;;Non dispo;20230101;A-nouveaux au 01/01/2023;15725;0;;;;;;-15725;15725;;;;;2;;27;NA;275;Depôts et cautionnements verses;2750;Depôts et cautionnements verses;27500;;Bilan;;;;;;D;Encaissements;;;;Investissements;;;
AN;A-NOUVEAUX;01/01/2001;20230101;28050000;AMORTISSEMENT LOGICIELS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;3198,31;;;;;;3198;3198;;;;;2;;28;AMORTISSEMENTS;280;Amortissements des immobilisations incorporelles;2805;Concessions et droits similaires, brevets, licences, logiciels, droits et valeurs similaires;28050;;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;28181000;AMORT.AG.CONS.DIVERS;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;7533,34;;;;;;7533;7533;;;;;2;;28;AMORTISSEMENTS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (meme ventilation que celle du compte 218);28181;;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;28182000;AMORT.MATERIEL DE TRANSPORT;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;1922,44;;;;;;1922;1922;;;;;2;;28;AMORTISSEMENTS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (meme ventilation que celle du compte 218);28182;;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;28183000;AMORT.MAT.BUREAU & INFORMATIQUE;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;19884,89;;;;;;19884;19884;;;;;2;;28;AMORTISSEMENTS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (meme ventilation que celle du compte 218);28183;;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;28184000;AMORT. MOBILIER;;;Non dispo;20230101;A-nouveaux au 01/01/2023;0;12415,87;;;;;;12415;12415;;;;;2;;28;AMORTISSEMENTS;281;Amortissements des immobilisations corporelles;2818;Autres immobilisations corporelles (meme ventilation que celle du compte 218);28184;;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AEI;AEI ;Non dispo;20230101;QUITTANCE EXTENSION T12023;0;13104;;;;;;13104;13104;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AEI;AEI ;Non dispo;20230101;Facture TTBL DEPOT DE GARANTIE;0;5750;;;;;;5750;5750;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AEI;AEI ;Non dispo;20230101;Facture FRAIS DE BAIL du 08/12/2022;0;480;;;;;;480;480;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AEI;AEI ;Non dispo;20230101;Facture AEI GESTION du 22/12/2022;0;16401,6;;;;;;16401;16401;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AEI;AEI ;Non dispo;20230101;VIR SEPA AVENIR ESPACE IMMOBILI DERNIERE ECHEANCE DU 3 TRIMESTRE 2021;1806,84;0;;;;;;-1806;1806;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AEI;AEI ;Non dispo;20230101;A-nouveaux au 01/01/2022;0;1806,84;;;;;;1806;1806;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;A-nouveaux au 01/01/2022;784,21;0;;;;;;-784;784;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;AMAZON;0;126,28;;;;;;126;126;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;AMAZON;0;65,85;;;;;;65;65;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;AMAZON;0;20,39;;;;;;20;20;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;AMAZON;0;56,64;;;;;;56;56;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;AMAZON;0;15,09;;;;;;15;15;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;AMA;AMA ;Non dispo;20230101;AMAZON;0;499,96;;;;;;499;499;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;BINOMIAL;BINOMIAL EXPERTISE PARIS;Non dispo;20230101;Facture BINOMIAL EXPERTISE - PARIS du 31/12/2022;0;2880;;;;;;2880;2880;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;BRL;BRL ;Non dispo;20230101;Facture BRL AVOCATS  du 31/10/2022;0;2400;;;;;;2400;2400;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;CABINET SK;CABINET SK PARIS;Non dispo;20230101;Facture CABINET SK - PARIS du 30/09/2022 ex 2021;0;6600;;;;;;6600;6600;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;CIAMT;CENTRE INTER MEDECINE TRAVAIL PARIS;Non dispo;20230101;Facture CENTRE INTER MEDECINE TRAVAIL - PARIS du 13/12/2022;0;134,4;;;;;;134;134;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;CIS;CISION L'ARGUES ;Non dispo;20230101;Facture CISION L'ARGUES du 27/12/2022;0;3,46;;;;;;3;3;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;CON;CON ;Non dispo;20230101;Facture CONCEPT FRANCHISE DEVELOPPEMEN du 30/12/2022;0;9710,4;;;;;;9710;9710;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;DAR;DAR ;Non dispo;20230101;Facture ETABLISSEMENTS DARTY ET FILS du 28/12/2022;0;14;;;;;;14;14;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;DECAT;DECAT ;Non dispo;20230101;A-nouveaux au 01/01/2022;383;0;;;;;;-383;383;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;DECAT;DECAT ;Non dispo;20230101;DACATHLON;0;383;;;;;;383;383;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;DEENAMIC;DEENAMIC PARIS;Non dispo;20230101;Facture DEENAMIC - PARIS du 02/09/2022;0;180;;;;;;180;180;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;A-nouveaux au 01/01/2022;0;7216,8;;;;;;7216;7216;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;Facture EBS GROUP - 2021;0;780;;;;;;780;780;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;Facture EBS GROUP - 2021;0;799,68;;;;;;799;799;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;Facture EBS GROUP - CHOISY LE ROI du 06/12/2022;0;168;;;;;;168;168;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;Facture EBS GROUP - CHOISY LE ROI du 13/09/2022;0;621,6;;;;;;621;621;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;FACTURE EBS GROUPE DU 28/06/2022;0;10080;;;;;;10080;10080;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EBS;EBS ;Non dispo;20230101;VIR SEPA EBS GROUP;1440;0;;;;;;-1440;1440;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;EDF;EDF ;Non dispo;20230101;Facture EDF du 29/12/2022, pÃ©riode du 01/12/2022 au 31/12/2022;0;499,48;;;;;;499;499;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;ENG;ENG ;Non dispo;20230101;Facture ENGIE du 24/12/2022, pÃ©riode du 26/09/2022 au 22/12/2022;0;300,93;;;;;;300;300;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;FACEBOOK;FAC ;Non dispo;20230101;Facture FBADS-586-102340015 du 16/12/2022;0;388,3;;;;;;388;388;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;FRANCHISE;FRANCHISE ;Non dispo;20230101;VIR SEPA FRANCHISE EXPO PARIS ACOMPTE;11817,96;0;;;;;;-11817;11817;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;FRANCHISE;FRANCHISE ;Non dispo;20230101;Facture FRANCHISE EXPO PARIS du 02/06/2022;0;23635,92;;;;;;23635;23635;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Avoir GOOGLE du 30/06/2022, pÃ©riode du 01/06/2022 au 30/06/2022;0,03;0;;;;;;0;0;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Avoir GOOGLE IRELAND LIMITED du 30/06/2022, pÃ©riode du 01/06/2022 au 30/06/2022;0,01;0;;;;;;0;0;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Avoir GOOGLE du 30/06/2022, pÃ©riode du 01/06/2022 au 30/06/2022;0,13;0;;;;;;0;0;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;PRLV SEPA Google Ireland Limite ADWORDS3111558597GG102P47Q8;299,44;0;;;;;;-299;299;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Avoir GOOGLE IRELAND LIMITED du 30/06/2022, pÃ©riode du 01/06/2022 au 30/06/2022;0,18;0;;;;;;0;0;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Google Payment IE LE 14/08;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Google Payment IE LE 14/09;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;GOOGLE;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;PRLV SEPA Google Ireland Limite ADWORDS3111558597GG102Q7UFF;163,48;0;;;;;;-163;163;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;PRLV SEPA GOOGLE IRELAND LIMITE;500;0;;;;;;-500;500;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Google Payment IE LE 14/06;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;CB Google Payment IE LTD - Dublin;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Google Payment IE LE 14/10;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Google Payments IE LE 15/07;1,99;0;;;;;;-1;1;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;Encaissements;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;PRLV SEPA GOOGLE IRELAND LIMITE;0,93;0;;;;;;0;0;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;;;;;;;;
AN;A-NOUVEAUX;01/01/2001;20230101;40110000;FOURNISSEURS;GOO;GOOGLE ;Non dispo;20230101;Facture GOOGLE IRELAND LIMITED du 28/02/2022, pÃ©riode du 01/02/2022 au 28/02/2022;0;53,33;;;;;;53;53;;;;;4;;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;Décaissements;;;;;;;
